"","iso2c","SI.POV.GINI","SI.POV.UMIC","SP.DYN.LE00.IN","SL.GDP.PCAP.EM.KD","NV.AGR.TOTL.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","NV.SRV.TOTL.ZS"
"37","DK",26.4166666666667,0.466666666666667,77.7426745164004,98757.5410834781,1.79646450762323,13.1261769669216,21.6541525204725,62.8015210655603
"38","DO",48.2227272727273,30.3590909090909,70.4419655172414,29173.4360989662,7.50922802968823,18.6091879461392,30.5739284854204,54.5077652224819
"39","DZ",31.45,41.6,72.2343448275862,41907.1133998035,9.60586052329633,36.9022369647249,48.2611295197712,39.9624446184563
"40","EC",49.7947368421053,39.4368421052632,73.448724137931,22811.991919747,13.4249292219245,17.3172309557359,31.6365574106964,49.7707484962966
"41","EE",32.92,3.85333333333333,72.5419259882254,52264.0727378304,3.33049287774371,14.5130074045364,25.1077115015381,59.6036847660127
"42","EG",31.0666666666667,73.4777777777778,68.9252068965517,31800.6225124055,14.0681186989031,16.5171068402786,33.3955287273555,48.3349662656481
"43","ES",34.5833333333333,2.55,80.2198990748528,90778.213438005,3.05738845307409,13.4106008169615,24.6917547390161,63.4616927211366
"44","ET",34.52,94.92,56.1856896551724,2550.83044471497,44.3650117337626,4.81206280092741,12.5602392182004,36.6431103934966
"45","FI",27.0222222222222,0.155555555555556,78.5716316232128,91974.870126035,2.91135620389474,19.1248317441077,27.4264957860665,56.7399448429104
"46","FJ",38.4,38.4666666666667,66.1394137931034,27531.5967003123,12.9882809776309,11.8854251592781,18.3543172069613,53.1676577785775
"47","FR",32.0058823529412,0.211764705882353,79.973086627418,99491.1451901829,1.9368675695948,12.6025396140889,20.0127754635887,67.7176512111055
"48","GA",40.1,44.15,60.8322068965517,68285.4202488949,5.81066206954855,11.8714578337072,51.267503725007,37.9926990351237
"49","GB",34.6705882352941,0.88235294117647,78.7946593776283,84248.6315994568,0.871607188180293,11.9475485916281,21.4539823241303,68.727182097491
"50","GE",38.2695652173913,57.6608695652174,70.9570344827586,17790.1028194044,16.5166718016801,11.0688346839398,21.64728723428,53.0642050245804
"51","GH",41.44,74.16,59.3325172413793,8671.96439925681,31.3401767820922,9.11186606133272,24.8496734399532,36.5704527836406
"52","GM",43.825,83.975,57.2745172413793,7564.21521843761,23.9892305701936,6.4275635412215,14.341057112955,57.9235899886031
"53","GN",41.8,94.36,54.3517586206897,5686.38610344084,19.3730082513326,7.49413202096075,30.1152570009184,44.1465600611733
"54","GR",34.7647058823529,3.71764705882353,79.1961312026913,77234.1867831137,4.28459474153739,8.95401755988514,16.9667412843153,67.6480880213089
"55","GT",52.3666666666667,47,68.9417586206897,19539.7615247872,16.0220042613848,15.9681378200736,23.4141625682885,57.3494406755408
"56","GW",43.3,95.2333333333333,52.2306896551724,4726.90322968233,47.5909671919198,9.70150541958696,13.2381247973517,35.9850473273949
"57","GY",44.6,65.75,66.4367586206896,26379.6640660062,30.8406917102691,4.43234009849821,22.5986074679505,35.6564648099401
"58","HN",54.4678571428571,61.1321428571429,71.4950344827586,12176.8706219295,15.0321027995334,18.6490259590156,27.8344217566649,53.9198092669765
"59","HR",31.8111111111111,5.46666666666667,74.7531875525652,57937.5085238327,4.10130601566749,14.4772777550809,23.3015113765907,56.0822116268175
"60","HT",41.1,78.6,58.6378620689655,7803.28944761251,20.9713695072685,14.7022830732021,26.035543924903,49.5991655634983
"61","HU",29.8857142857143,2.80714285714286,72.5761816652649,57484.5143925129,4.35311445313257,18.8672952046787,26.1864805193654,54.8266071549716
"62","ID",34.8541666666667,80.7916666666667,67.115724137931,16923.6905661704,15.4588015222144,24.0743567827031,43.1103180757134,40.330885031457
"63","IE",33.3,0.794444444444445,78.4053473507149,117493.196458833,1.7672170169674,23.4385333255248,30.2847968423618,58.0491937874746
"64","IL",39.7777777777778,3.72222222222222,79.8258200168209,79884.6025088899,1.44356041149214,14.6532979588582,21.7497491875792,66.0911000385401
