"2014","2015","2016"
1845355,2972724,3466235
1838248,2447993,3261050
1747653,3137418,3541890
1799498,2108297,3141335
1921820,2033840,3119950
2638838,2127139,3454655
3479322,3166726,4148553
2738486,2481154,3735452
3348849,2885472,4165550
2898875,3396961,4181022
2878052,3520378,4206294
5757767,6793097,6765093
